Ref,Val,Package,PosX,PosY,Rot,Side
"B1","BATT","JST_PH_S2B-PH-K_custom",20.200000,-37.030000,0.000000,bottom
"D1","D","Diode_SMD",6.250000,-8.220000,0.000000,top
"D2","D","Diode_SMD",9.150000,-27.730000,0.000000,top
"D3","D","Diode_SMD",13.420000,-46.300000,0.000000,top
"D4","D","Diode_SMD",27.610000,-65.280000,0.000000,top
"D5","D","Diode_SMD",12.800000,-8.210000,0.000000,top
"D6","D","Diode_SMD",30.540000,-27.720000,0.000000,top
"D7","D","Diode_SMD",40.020000,-46.760000,0.000000,top
"D8","D","Diode_SMD",46.680000,-65.140000,0.000000,top
"D9","D","Diode_SMD",44.920000,-8.680000,0.000000,top
"D10","D","Diode_SMD",49.550000,-27.690000,0.000000,top
"D11","D","Diode_SMD",59.100000,-46.790000,0.000000,top
"D12","D","Diode_SMD",65.620000,-65.080000,0.000000,top
"D13","D","Diode_SMD",51.420000,-8.630000,0.000000,top
"D14","D","Diode_SMD",68.660000,-27.760000,0.000000,top
"D15","D","Diode_SMD",78.180000,-46.770000,0.000000,top
"D16","D","Diode_SMD",89.720000,-8.530000,0.000000,top
"D17","D","Diode_SMD",82.800000,-8.570000,0.000000,top
"D18","D","Diode_SMD",87.750000,-27.810000,0.000000,top
"D19","D","Diode_SMD",96.750000,-46.330000,0.000000,top
"D20","D","Diode_SMD",87.040000,-65.040000,0.000000,top
"J1","Conn_01x02","2.54mm_2pin_TH",20.650000,-33.860000,0.000000,top
"SW1","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",0.000000,0.000000,0.000000,top
"SW2","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",2.381250,-19.050000,0.000000,top
"SW3","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",7.143750,-38.100000,0.000000,top
"SW4","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",21.431250,-57.150000,0.000000,top
"SW5","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",19.050000,0.000000,0.000000,top
"SW6","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",23.812500,-19.050000,0.000000,top
"SW7","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",33.337500,-38.100000,0.000000,top
"SW8","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",40.481250,-57.150000,0.000000,top
"SW9","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",38.100000,0.000000,0.000000,top
"SW10","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",42.862500,-19.050000,0.000000,top
"SW11","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",52.387500,-38.100000,0.000000,top
"SW12","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",59.531250,-57.150000,0.000000,top
"SW13","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",57.150000,0.000000,0.000000,top
"SW14","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",61.912500,-19.050000,0.000000,top
"SW15","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",71.437500,-38.100000,0.000000,top
"SW16","RotaryEncoder_Switch","RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm_CircularMountingHoles_m.ki_ryoumen",95.200000,0.010000,0.000000,top
"SW17","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",76.200000,0.000000,0.000000,top
"SW18","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",80.962500,-19.050000,0.000000,top
"SW19","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",90.487500,-38.100000,0.000000,top
"SW20","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",80.950000,-57.150000,0.000000,top
"SW21","SW_PUSH","ResetSW_2_1side",-7.800000,-38.180000,-90.000000,top
"SW23","SW_SPDT","TGSW_MSK-12D19",-8.040000,-14.100000,90.000000,top
