Designator,Mid X,Mid Y,Layer,Rotation
D1,6.64,-8.62,bottom,180
D2,11.52,-27.73,bottom,180
D3,21.04,-46.81,bottom,180
D4,18.55,-65.73,bottom,180
D5,12.76,-8.67,bottom,180
D6,30.5,-27.78,bottom,180
D7,40.02,-46.75,bottom,180
D9,44.83,-8.68,bottom,180
D10,49.61,-27.73,bottom,180
D11,59.18,-46.88,bottom,180
D13,51.52,-8.6,bottom,180
D14,68.73,-27.76,bottom,180
D15,78.15,-46.77,bottom,180
D16,101.73,-8.35,bottom,180
D17,82.6,-8.49,bottom,180
D18,94.73,-27.61,bottom,180
D19,101.66,-43.99,bottom,180
